,Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,North Node,True Node,Chiron,Ascendant,MC,Descendant,IC,Lilith,Ceres,Pallas,Juno,Vesta
55,1989-01-14 23:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
56,1989-01-15 06:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Scorpio,Gemini,Taurus,Virgo,Pisces,Aquarius,Virgo,Sagittarius
57,1989-01-15 12:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
58,1989-01-15 18:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Pisces,Aquarius,Virgo,Sagittarius
59,1989-01-15 23:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
60,1989-01-16 06:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Pisces,Aquarius,Virgo,Sagittarius
61,1989-01-16 12:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
62,1989-01-16 18:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Pisces,Aquarius,Virgo,Sagittarius
63,1989-01-16 23:00:00,Capricorn,Taurus,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
64,1989-01-17 06:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
65,1989-01-17 12:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Aries,Aquarius,Virgo,Sagittarius
66,1989-01-17 18:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
67,1989-01-17 23:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
68,1989-01-18 06:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
69,1989-01-18 12:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
70,1989-01-18 18:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
71,1989-01-18 23:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
72,1989-01-19 06:00:00,Capricorn,Gemini,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
73,1989-01-19 12:00:00,Capricorn,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
74,1989-01-19 18:00:00,Capricorn,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
75,1989-01-19 23:00:00,Capricorn,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
76,1989-01-20 06:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
77,1989-01-20 12:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
78,1989-01-20 18:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
79,1989-01-20 23:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
80,1989-01-21 06:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
81,1989-01-21 12:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
82,1989-01-21 18:00:00,Aquarius,Cancer,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
83,1989-01-21 23:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
84,1989-01-22 06:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
85,1989-01-22 12:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
86,1989-01-22 18:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
